"escola","tipo","uf","medalha_count"
"ESC MUN NUCLEO DEOLINDO ZILIO","M","SC","3"
"EM LIDIA ANGELICA","M","MG","3"
"EEPG DR. ANISIO JOSE MOREIRA","E","MT","3"
"COLÉGIO MILITAR DO CEARÁ - HERVANO MACEDO JÚNIOR","E","CE","3"
"PEDRO MACEDO, C E - E FUND MEDIO","E","PR","3"
"INSTITUTO FEDERAL DO TRIANGULO MINEIRO - CAMPUS AVANCADO UBERABA PARQUE TECNOLOGICO","F","MG","3"
"ESCOLA INT MONS ALFREDO PINTO DAMASO","M","PE","3"
"CENTRO EDUCACIONAL CASULO","P","RJ","3"
"CHICO MUNDOCA, ESC .ENS. FUND.","M","CE","3"
"EEEP MANOEL MANO","E","CE","3"
"CENTRO INTEG DE ENS FUNDAMENTAL CIEF","M","SC","3"
"EE SEBASTIAO RIBEIRO DE BRITO","E","MG","3"
"CARLOS CELSO LENARDUZZI","E","SP","3"
"JOHANN GAUSS COLEGIO","P","SP","3"
"EEEFM EMILIO GARRASTAZU MEDICI","E","RO","3"
"EE ADALGISA DE PAULA DUQUE","E","MG","3"
"CEPM DE GOIÁS DR CESAR TOLEDO","E","GO","3"
"IFSP - CAMPUS CAPIVARI","F","SP","3"
"WALDEMAR RAMOS PROF EMEF","M","SP","3"
"CENTRO DE ENSINO MEDIO TIRADENTES","E","RS","3"
"EE PRES TANCREDO NEVES","E","MG","3"
"LEDA FELICE FERREIRA PROFA.","E","SP","3"
"NARCISO BERTOLINO CAP","E","SP","3"
"THEREZA SIQUEIRA MENDES PROFA EMEF","M","SP","3"
"FAUSTO CARDOSO FIGUEIRA DE MELLO DR","E","SP","3"
"ESC MUNIC DE ENS FUND SANTO ANTONIO","M","RS","3"
"ALPHA LUMEN INSTITUTO","P","SP","3"
"EMEF PAULO RIZZIERI","M","SC","3"
"EE PROF ALBERTO ELPÍDIO FERREIRA DIAS","E","MS","3"
"INSTITUTO FEDERAL SUL - RIO-GRANDENSE - CAMPUS PELOTAS","F","RS","3"
"GRUPO DE 1º GRAU LIEGE GAMA ROCHA","M","AL","3"
"EE PROFª ZELIA DULCE DE CAMPOS MAIA","E","SP","3"
"C.E. ARNOR SILVESTRE VIEIRA","E","RJ","3"
"EEM JOAQUIM MAGALHAES","E","CE","3"
"MARIA SOCORRO GOUVEIA,ESC ENS FUNDAMENTA","M","CE","3"
"EE SAO JOSE","E","MG","3"
"ESC N S DE LOURDES ENS FUNDAMENTAL E MEDIO","E","PE","3"
"EEEF CEL ANTONIO DUARTE","E","ES","3"
"AYR PICANCO BARBOSA DE ALMEIDA PROFA","E","SP","3"
"EMEF DOMINGOS MARTINS","M","ES","3"
"INSTITUTO FEDERAL DO NORTE DE MINAS GERAIS - CAMPUS MONTES CLAROS","F","MG","3"
"EE ARTUR BELEM JUNIOR","E","SP","3"
"CECILIA COLEGIO SANTA","P","CE","3"
"CENTRO EST. DE ATEND. MULT. PARA ALTAS HAB SUPERD.","E","MS","3"
"LESBINO DE SOUZA ALKIMIN","E","SP","3"
"LYSIMACO F.COSTA, C E PROF-E FUND MEDIO","E","PR","3"
"ESCOLA MUNICIPAL PROFESSOR BERNARDO TANK","M","SC","3"
"ESCOLA ESTADUAL PROF NESTOR CARVALHO LIMA","E","SE","3"
"EB BRIGADEIRO EDUARDO GOMES","M","SC","3"
"ANTONIO VALMIR DA SILVA EEEP PROF","E","CE","3"
"ESCOLA MUNICIPAL PROF THEREZA MAZZOLLI HREISEMNOU","M","SC","3"
"CARDEAL LEME","E","SP","3"
"IFSUL RIO GRANDENSE - CAMPUS LAJEADO","F","RS","3"
"COL PEDRO II UNI ESC DESCENTRALIZADA DE NITERÓI","F","RJ","3"
"ORESTES FERREIRA DE TOLEDO","E","SP","3"
"E.M.E.F. ALUÍSIO CARVALHO DE OLIVEIRA","M","SC","3"
"LEONIDAS RAMOS DE OLIVEIRA PROF.E.M","M","SP","3"
"EEEP MARIA CELIA PINHEIRO FALCAO","E","CE","3"
"ESCOLA DE ENSINO FUNDAMENTAL PADRE MANUEL GUIMARÃES","M","SE","3"
"EEEFM LUIZ JOUFFROY","E","ES","3"
"ESC EST DE ENS FUND RUI BARBOSA","E","RS","3"
"ESC EST JOSE DE ALENCAR","E","AP","3"
"EM ANTONIO D ASSIS MARTINS","M","MG","3"
"E.M. JORNALISTA C. CASTELO BRANCO","M","RJ","3"
"EE PROFESSORA DORA BARBOSA","E","MG","3"
"OFICINA DO ESTUDANTE COLEGIO","P","SP","3"
"EEB MARIA KONDER BORNHAUSEN","E","SC","3"
"EE DOM VELLOSO","E","MG","3"
"EMEF MARIA MADALENA DE OLIVEIRA DOMINGUES","M","ES","3"
"ESC MUN ENS FUN SAO JOSE","M","RS","3"
"COLÉGIO MUNICIPAL PE VIRGÍLIO ZOPPI","M","BA","3"
"EMILIO DE MENEZES,C.E. E FUND.MEDIO NORM","E","PR","3"
"EM PROF OTAVIO BATISTA C FILHO","M","MG","3"
"RIO BRANCO UNIDADE HIGIENOPOLIS COLEGIO","P","SP","3"
